[03:10:04] [Server thread/INFO]: [AIBot] LIFECYCLE event=bot_spawned bot=Bob {mode=survival, pos=5,112,4}
[03:10:04] [Server thread/INFO]: [AIBot] LIFECYCLE event=bot_restored bot=Bob {dimension=minecraft:overworld, fallback=false, mode=survival, pos=5,112,4}
[03:10:04] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:04] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:08] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:12] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:12] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:15] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:17] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:17] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:20] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:20] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:20] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:25] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:25] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:25] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:30] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:30] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:31] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:33] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:35] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:35] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:37] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:40] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:40] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:41] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:43] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:44] [Server thread/INFO]: [AIBot] TASK event=task_assigned bot=Bob {params=Gathering minecraft:oak_log 0/1 phase=SURVEY, origin=LLM_TOOL, name=gather, origin_reason=external_dsh}
[03:10:44] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=harvest_nearest_blocks, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:44] [Server thread/INFO]: [AIBot] PROFILE event=profile_slow_section bot=- {elapsed_ms=103.42, bot=Bob, section=task_tick}
[03:10:45] [Server thread/INFO]: [AIBot] PROFILE event=profile_slow_section bot=- {elapsed_ms=97.38, bot=Bob, section=task_tick}
[03:10:45] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=gather_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:45] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=ore_prospector, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:45] [Server thread/INFO]: [AIBot] PROFILE event=profile_slow_section bot=- {elapsed_ms=436.33, bot=Bob, section=task_tick}
[03:10:45] [Server thread/WARN]: [AIBot] TASK event=task_failed bot=Bob {elapsed_ticks=20, reason=no_resource_nearby, name=gather}
[03:10:46] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:46] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:49] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:50] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:50] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:53] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:10:55] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
