JUnit total=357 failures=0
io.github.zoyluo.aibot.action.BuildActionVisibilitySourceTest tests=4 failures=0 errors=0
io.github.zoyluo.aibot.action.ToolSelectorPolicyTest tests=1 failures=0 errors=0
io.github.zoyluo.aibot.auth.BotAuthorizationPolicyTest tests=9 failures=0 errors=0
io.github.zoyluo.aibot.auth.BotTargetSelectorTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.brain.BrainCoordinatorControlContinuationTest tests=1 failures=0 errors=0
io.github.zoyluo.aibot.brain.DecisionSessionTest tests=11 failures=0 errors=0
io.github.zoyluo.aibot.brain.ToolRegistryStrictMiningBoundaryTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.coordination.JobScopeTest tests=4 failures=0 errors=0
io.github.zoyluo.aibot.DeepSeekThinkingConfigTest tests=5 failures=0 errors=0
io.github.zoyluo.aibot.external.cognition.CognitiveCanonicalizationTest tests=5 failures=0 errors=0
io.github.zoyluo.aibot.goal.AcquireWaterMissionFailurePolicyTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.goal.GoalExecutorHuntCursorPersistenceTest tests=16 failures=0 errors=0
io.github.zoyluo.aibot.goal.GoalExecutorHuntPickupCheckpointTest tests=7 failures=0 errors=0
io.github.zoyluo.aibot.goal.GoalExecutorMiningCheckpointPolicyTest tests=19 failures=0 errors=0
io.github.zoyluo.aibot.goal.GoalExecutorObsidianResumeReconcileTest tests=5 failures=0 errors=0
io.github.zoyluo.aibot.goal.GoalExecutorPostconditionRepairPersistenceTest tests=4 failures=0 errors=0
io.github.zoyluo.aibot.goal.GoalExecutorReplanPolicyTest tests=10 failures=0 errors=0
io.github.zoyluo.aibot.goal.GoalExecutorSkippedTargetReceiptTest tests=7 failures=0 errors=0
io.github.zoyluo.aibot.goal.GoalPredicateTest tests=7 failures=0 errors=0
io.github.zoyluo.aibot.goal.GoalResultTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.goal.MiningPlanningSourceContractTest tests=5 failures=0 errors=0
io.github.zoyluo.aibot.memory.BotMemoryGoalCancellationTest tests=1 failures=0 errors=0
io.github.zoyluo.aibot.mining.MiningBudgetTest tests=7 failures=0 errors=0
io.github.zoyluo.aibot.mining.MiningCursorTest tests=4 failures=0 errors=0
io.github.zoyluo.aibot.mining.MiningEvidenceAuditTest tests=11 failures=0 errors=0
io.github.zoyluo.aibot.mining.MiningFoodReserveTest tests=3 failures=0 errors=0
io.github.zoyluo.aibot.mining.MiningMissionBudgetTest tests=7 failures=0 errors=0
io.github.zoyluo.aibot.mining.ObsidianFoodBudgetTest tests=4 failures=0 errors=0
io.github.zoyluo.aibot.mode.AIBotConfigModeDefaultsTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.mode.CapabilityGateTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.mode.CapabilityPolicyTest tests=3 failures=0 errors=0
io.github.zoyluo.aibot.mode.ObservableWorldQueryInsetFaceTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.mode.PrivilegedBoundarySourceTest tests=7 failures=0 errors=0
io.github.zoyluo.aibot.mode.ProfileResolverTest tests=6 failures=0 errors=0
io.github.zoyluo.aibot.pathfinding.PathExecutorArrivalTest tests=1 failures=0 errors=0
io.github.zoyluo.aibot.pathfinding.PathExecutorReplanGateTest tests=5 failures=0 errors=0
io.github.zoyluo.aibot.pathfinding.PathExecutorRouteContractTest tests=7 failures=0 errors=0
io.github.zoyluo.aibot.pathfinding.PathSupportMaterialSourceContractTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.persist.AtomicSnapshotFileTest tests=1 failures=0 errors=0
io.github.zoyluo.aibot.persist.MissionSpecTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.persist.RuntimeSnapshotCodecTest tests=3 failures=0 errors=0
io.github.zoyluo.aibot.runtime.ExecutionStackTest tests=3 failures=0 errors=0
io.github.zoyluo.aibot.runtime.IntentControlTransactionTest tests=4 failures=0 errors=0
io.github.zoyluo.aibot.task.AbstractTaskCancellationTest tests=1 failures=0 errors=0
io.github.zoyluo.aibot.task.AcquireWaterSurvivalBoundaryTest tests=5 failures=0 errors=0
io.github.zoyluo.aibot.task.CreateObsidianCheckpointTest tests=12 failures=0 errors=0
io.github.zoyluo.aibot.task.CreateObsidianSurvivalBoundaryTest tests=3 failures=0 errors=0
io.github.zoyluo.aibot.task.CreeperDefenseSourceContractTest tests=3 failures=0 errors=0
io.github.zoyluo.aibot.task.DigDownCheckpointTest tests=14 failures=0 errors=0
io.github.zoyluo.aibot.task.DigDownReturnSourceContractTest tests=4 failures=0 errors=0
io.github.zoyluo.aibot.task.DropRecoveryPolicyTest tests=4 failures=0 errors=0
io.github.zoyluo.aibot.task.EmergencyShelterEatingPolicyTest tests=3 failures=0 errors=0
io.github.zoyluo.aibot.task.EpisodeMemoryTest tests=1 failures=0 errors=0
io.github.zoyluo.aibot.task.GatherAtomicPhaseSourceContractTest tests=1 failures=0 errors=0
io.github.zoyluo.aibot.task.HuntConstrainedRouteSourceContractTest tests=5 failures=0 errors=0
io.github.zoyluo.aibot.task.HuntPickupCheckpointTest tests=8 failures=0 errors=0
io.github.zoyluo.aibot.task.HuntSearchCursorTest tests=9 failures=0 errors=0
io.github.zoyluo.aibot.task.MiningServiceDisposalSourceContractTest tests=22 failures=0 errors=0
io.github.zoyluo.aibot.task.MiningServicePolicyTest tests=10 failures=0 errors=0
io.github.zoyluo.aibot.task.MiningTorchReserveSourceContractTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.task.ObsidianSearchCursorTest tests=10 failures=0 errors=0
io.github.zoyluo.aibot.task.OreDigCheckpointSourceContractTest tests=14 failures=0 errors=0
io.github.zoyluo.aibot.task.OreDigObservationSourceContractTest tests=5 failures=0 errors=0
io.github.zoyluo.aibot.task.OreDigReservePolicyTest tests=2 failures=0 errors=0
io.github.zoyluo.aibot.task.StripMineStrictSurvivalBoundaryTest tests=3 failures=0 errors=0
io.github.zoyluo.aibot.task.SurfaceExpeditionWaterRecoverySourceContractTest tests=1 failures=0 errors=0
